Date,pos_META,pos_AAPL,pos_AMZN,pos_NFLX,pos_GOOG,ret_META,ret_AAPL,ret_AMZN,ret_NFLX,ret_GOOG
2015-09-28,0,1,0,1,0,-0.0,-0.01978877764324649,-0.0,-0.027093081973234234,-0.0
2015-09-29,0,0,0,1,0,-0.0,-0.030060570120924335,-0.0,-0.011259703758291661,0.0
2015-09-30,0,0,0,1,0,0.0,0.0,0.0,0.049923779748724195,0.0
2015-10-01,0,0,0,1,0,0.0,-0.0,0.0,0.026341285729537756,0.0
2015-10-02,0,0,0,1,0,0.0,0.0,0.0,0.0012266205821880316,0.0
2015-10-05,0,0,0,1,0,0.0,0.0,0.0,0.048440291773469424,0.0
2015-10-06,0,0,0,1,0,-0.0,0.0,-0.0,-0.0262471745523174,0.0
2015-10-07,0,0,0,1,0,-0.0,-0.0,0.0,-0.0021231732026765204,-0.0
2015-10-08,0,0,0,1,0,0.0,-0.0,-0.0,0.06318225649827158,-0.0
2015-10-09,0,0,0,1,0,0.0,0.0,0.0,-0.0139215041318419,0.0
2015-10-12,0,0,0,1,0,0.0,-0.0,0.0,0.001058811570182172,0.0
2015-10-13,0,0,0,1,0,-0.0,0.0,-0.0,-0.03278971962428279,0.0
2015-10-14,0,0,0,1,0,-0.0,-0.0,-0.0,0.004556638883656872,-0.0
2015-10-15,0,0,0,1,0,0.0,0.0,0.0,-0.0829175972121392,0.0
2015-10-16,0,0,0,0,0,0.0,-0.0,0.0,-0.020773553765912722,0.0
2015-10-19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-10-20,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,-0.0
2015-10-21,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0
2015-10-22,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0
2015-10-23,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0
2015-10-26,1,1,1,0,1,0.015461402195372731,-0.03191136094199665,0.01599252433196474,0.0,0.015356427611149748
2015-10-27,1,0,1,0,1,-0.0006745816894457857,-0.006332389292520113,0.00394343961200283,0.0,-0.006018826061110594
2015-10-28,1,0,1,0,1,0.0048216403896457205,0.0,0.009967059911179632,0.0,0.006294993181869657
2015-10-29,1,0,1,0,1,0.0065259208710637395,0.0,0.015313558723775822,-0.0,0.0055686386648023944
2015-10-30,0,0,1,0,1,-0.02774602444072527,-0.0,-0.0010374052825049551,0.0,-0.008522709922171412
2015-11-02,0,0,1,0,1,0.0,0.0,0.003914346242011257,-0.0,0.014490665868401864
2015-11-03,0,0,1,0,1,-0.0,0.0,-0.004838081625234136,0.0,0.0014560863054704498
2015-11-04,0,0,1,0,1,0.0,-0.0,0.025011642785078614,0.0,0.008238981521645927
2015-11-05,0,0,1,0,1,0.0,-0.0,0.022934724903762138,-0.0,0.004312654017705864
2015-11-06,0,0,1,0,1,-0.0,0.0,0.005673667424738182,0.0,0.0034323245684435566
2015-11-09,0,0,1,0,1,-0.0,-0.0,-0.005884296824504642,-0.0,-0.01208824801066144
2015-11-10,0,0,1,0,1,0.0,-0.0,0.006392144735131389,0.0,0.0047317383479672515
2015-11-11,0,0,1,0,1,0.0,-0.0,0.02057049753208151,0.0,0.009720975476812166
2015-11-12,0,0,1,0,1,-0.0,-0.0,-0.0113627838741166,-0.0,-0.005670223108091621
2015-11-13,0,0,0,1,0,-0.0,-0.0,-0.03493084485460596,-0.0,-0.019460593322763176
2015-11-16,0,0,0,1,0,0.0,0.0,0.0,0.07428844027869785,0.0
2015-11-17,0,0,0,1,0,0.0,-0.0,-0.0,0.05163897690879948,-0.0
2015-11-18,0,0,0,1,0,0.0,0.0,0.0,0.03014516503240605,0.0
2015-11-19,0,0,0,1,0,-0.0,0.0,-0.0,-0.0033987900360598067,-0.0
2015-11-20,0,1,0,1,0,0.0,0.0,0.0,0.03011142139769074,0.0
2015-11-23,0,1,0,1,0,-0.0,-0.01299244563144919,0.0,0.009609193124969106,-0.0
2015-11-24,0,1,0,1,0,-0.0,0.009596277101248551,-0.0,-0.013756708289978214,-0.0
2015-11-25,0,1,0,1,0,-0.0,-0.007149823033473446,0.0,0.006893245643863732,-0.0
2015-11-27,1,1,0,1,0,0.0,-0.0018640363988675634,-0.0,0.010309268214748757,0.0
2015-11-30,1,1,0,1,0,-0.011474603581110077,0.004159284976014144,-0.0,-0.01682079535463299,-0.0
2015-12-01,1,1,0,1,0,0.02762858550258329,-0.008114945438865151,0.0,0.016540994772073825,0.0
2015-12-02,1,1,0,1,0,-0.009802135640580412,-0.009033523082645045,-0.0,0.028395867043213174,-0.0
2015-12-03,1,0,0,1,0,-0.015932839398956067,-0.009287978800569197,-0.0,-0.01644299416442707,-0.0
2015-12-04,1,0,0,1,0,0.017244603794337898,0.0,0.0,0.0324895134177714,0.0
2015-12-07,1,0,0,1,0,-0.0053682220169326555,-0.0,-0.0,-0.04254175801584681,-0.0
2015-12-08,1,0,0,1,0,0.008332496832137881,-0.0,0.0,0.012922804233364449,-0.0
