Date,pos_NVDA,pos_MSFT,pos_AAPL,pos_AMZN,pos_META,pos_AVGO,pos_GOOGL,pos_TSLA,pos_GOOG,pos_BRK-B,ret_NVDA,ret_MSFT,ret_AAPL,ret_AMZN,ret_META,ret_AVGO,ret_GOOGL,ret_TSLA,ret_GOOG,ret_BRK-B
2016-03-11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
2016-03-15,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2016-03-16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-03-17,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,1,1,1,1,1,1,1,1,1,1,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2016-03-21,1,1,1,1,1,1,1,1,1,1,0.0029579682497438142,0.006917567277646031,-9.451616571642951e-05,0.003441505326742922,0.003589014050514372,0.0026231841395998323,0.008935589176047198,0.023975234953553137,0.006087275562240535,-0.00021102123328708977
2016-03-22,1,1,1,1,1,1,1,1,1,1,-0.0017696615580603536,0.0038986331336923197,0.007647961543602033,0.011733303365531578,0.003576247724953241,0.01223100868056548,-0.00276847265318092,-0.01711979903690175,-0.0018056827041599277,0.0003517047157632902
2016-03-23,1,1,1,1,1,1,1,1,1,1,0.017134202286924083,-0.0018494001686426564,-0.005528193455816788,0.016325308843260222,0.002583588091572997,-0.011437202241811883,-0.003276164031773998,-0.04977800018235601,-0.003631482931750196,-0.008580574094528504
2016-03-24,1,1,1,1,1,1,1,1,1,1,0.0014524576274601575,0.0044467522892741584,-0.004334467183758184,0.023383545256862037,0.004531779549163062,6.530038786811687e-05,-0.003590335481288065,0.0232275906570083,-0.003739638092623232,-0.006030122467580723
2016-03-28,1,1,1,1,1,1,1,1,1,1,0.010150904010498563,-0.012359324606789901,-0.004542497949890034,-0.005283449127727047,0.005661135565221409,0.0006536912588361865,-0.002066645579900328,0.011020873910291051,-0.002407070127320554,0.008421901867396553
2016-03-29,1,1,1,1,1,1,1,1,1,1,0.01607809797237536,0.02185277001526198,0.02367132240151415,0.024126133219094736,0.02154983617792383,0.006727673120491273,0.016739955216122482,-0.0005646003647661324,0.015323100619037744,0.004317365980166965
2016-03-30,1,1,1,1,1,1,1,1,1,1,0.010454808271417537,0.00621476760160955,0.017459175159181273,0.008133194378816988,-0.012398745385980736,0.018166263470243083,0.0031990261897074657,-0.014078972960765879,0.007734000309421951,0.003946531652364582
2016-03-31,1,1,1,1,1,1,1,1,1,1,-0.003635282521573635,0.0032699097016157808,-0.005202524033574241,-0.00843510117909696,-0.005231146776489726,-0.015484549337250297,-0.007080223435714572,0.012693337980441255,-0.007434738398349738,-0.004071330926016525
2016-04-01,1,1,1,1,1,1,1,1,1,1,0.014594320725896504,0.006155861564994591,0.009175129150699624,0.008186781113585173,0.017177907093698597,0.02135924404527567,0.008874142230360205,0.03403399570678456,0.006658077816058983,0.01346199843239293
2016-04-04,1,1,1,1,1,1,1,1,1,1,-0.009681834849904702,-0.002519084651515513,0.010273579761585827,-0.008872151103062609,-0.030243047627715347,-0.011343409180726294,-0.0059116986057753396,0.039563979070301736,-0.006160669498411875,-0.003964059336837411
2016-04-05,1,1,1,1,1,1,1,1,1,1,-0.001396670459488103,-0.01569580984477803,-0.011788968343859674,-0.011884924360712312,-0.0029320476856575794,-0.006281684554543032,-0.008560739695139152,0.03433343457363125,-0.010049813084979098,-0.01410420510573862
2016-04-06,1,1,1,1,1,1,1,1,1,1,0.0013986238761398706,0.010264294301872479,0.010472602881810511,0.0271948990544153,0.013277580383257659,0.016190250675150786,0.012523617357341088,0.038947853163352475,0.010693963953721353,0.00354107656378555
2016-04-07,1,1,1,1,1,1,1,1,1,1,-0.01033521179095076,-0.011974022147111962,-0.02180974474442965,-0.017688656382376045,-0.0006156804078613076,-0.016313261893768916,-0.01035067099980802,-0.030969800698537053,-0.007255026202998005,-0.006280870916133607
2016-04-08,1,0,0,1,0,1,1,0,0,0,0.006491516899650884,-0.000734668521558679,0.0011058096165863507,0.005359848498285968,-0.02648718974098474,0.0076146046651976995,-0.0008552977321421018,-0.02772166475041915,-0.0015265046385050107,0.0017754421158622247
2016-04-11,1,0,0,1,0,1,1,0,0,0,0.006169532145632761,-0.0,0.0,0.0022367881300682235,-0.0,-0.003458278166433071,-0.0025411838580862156,-0.0,-0.0,-0.0
2016-04-12,1,0,0,1,0,1,1,0,0,0,-0.0011148179732269892,0.0,0.0,0.012149125841996566,0.0,-0.001156653448985412,0.008950115066968412,-0.0,0.0,0.0
2016-04-13,1,0,0,1,0,1,1,0,0,0,0.025111602821524803,0.0,0.0,0.019314572589733903,-0.0,0.02605639600017784,0.009930375206807396,0.0,0.0,0.0
2016-04-14,1,0,0,1,0,1,1,0,0,0,0.0027219390527384313,0.0,0.0,0.009645137346663946,0.0,-0.004138330103651278,0.004508336007921665,-0.0,0.0,-0.0
2016-04-15,1,0,0,1,0,0,1,0,0,0,0.007871581031045238,0.0,-0.0,0.008280304996334698,-0.0,-0.020967282921377728,0.005945464719342208,0.0,0.0,-0.0
