Date,portfolio
2012-05-18,0.0
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.0
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,0.0
2012-06-25,0.0
2012-06-26,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-06-29,0.0
2012-07-02,0.0
2012-07-03,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-09,0.0
2012-07-10,0.0
2012-07-11,0.0
2012-07-12,0.0
2012-07-13,0.0
2012-07-16,0.0
2012-07-17,0.0
2012-07-18,0.0
2012-07-19,0.0
2012-07-20,0.0
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,0.0
2012-07-26,0.0
2012-07-27,0.0
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,0.0
2012-08-06,0.0
2012-08-07,0.0
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,0.0
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,0.0
2012-08-16,0.0
2012-08-17,0.0
2012-08-20,0.0
2012-08-21,0.0
2012-08-22,0.0
2012-08-23,0.0
2012-08-24,0.0
2012-08-27,0.0
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,0.0
2012-08-31,0.0
2012-09-04,0.0
2012-09-05,0.0
2012-09-06,0.0
2012-09-07,0.0
2012-09-10,0.0
2012-09-11,0.0
2012-09-12,0.0
2012-09-13,0.0
2012-09-14,0.0
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,0.0
2012-09-20,0.0
2012-09-21,0.0
2012-09-24,0.0
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-28,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-05,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-12,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-19,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-26,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-02,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-09,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-16,0.0
2012-11-19,0.0
2012-11-20,0.0
2012-11-21,0.0
2012-11-23,0.0
2012-11-26,0.0
2012-11-27,0.0
2012-11-28,0.0
2012-11-29,0.0
2012-11-30,0.0
2012-12-03,0.0010575137753072728
2012-12-04,0.0010548235698122355
2012-12-05,0.0019049938837156777
2012-12-06,0.0015850870211511214
2012-12-07,0.0009666316424155053
2012-12-10,0.011749864678733069
2012-12-11,0.010832632633494876
2012-12-12,-0.0022960193167185228
2012-12-13,0.0020739524033304146
2012-12-14,0.0023898986742705297
2012-12-17,-0.0019704926823377322
2012-12-18,0.0007920296646135583
2012-12-19,0.0035505848733530243
2012-12-20,-0.00039132806629516015
2012-12-21,0.0
2012-12-24,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-28,0.0
2012-12-31,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0022244239022402024
2013-01-11,0.0011646725465528363
2013-01-14,0.006741199357900074
2013-01-15,0.0035005794656384204
2013-01-16,0.0002546724070016104
2013-01-17,0.005147092297431932
2013-01-18,0.0006160517604674176
2013-01-22,0.0025087327291761774
2013-01-23,0.005419103260338343
2013-01-24,0.00709237026133569
2013-01-25,0.011197309551692625
2013-01-28,0.004901448252991214
2013-01-29,-0.0025813822891728178
2013-01-30,0.0005558855505114479
2013-01-31,-0.0016303916230546722
2013-02-01,0.011288281277401113
2013-02-04,-0.012556172002604615
2013-02-05,0.007007908832576293
2013-02-06,0.0036304431878557697
2013-02-07,-0.0039284324994964814
2013-02-08,-0.00037488730214463306
2013-02-11,-0.0023770631942455767
2013-02-12,-2.24061454030533e-05
2013-02-13,0.0014565443962994973
2013-02-14,0.0010877691779722642
2013-02-15,0.0007294565521143159
2013-02-19,0.0025403008281841277
2013-02-20,-0.001929678100938137
2013-02-21,-0.00012662384068973243
2013-02-22,0.0030236030646197953
2013-02-25,-0.006690663825227983
2013-02-26,0.0003667161868630142
2013-02-27,0.006211998485570858
2013-02-28,0.0023072388448912573
2013-03-01,-2.9381511727266663e-05
2013-03-04,-5.387129782730149e-05
2013-03-05,0.012706841425402349
2013-03-06,-0.003002522075696956
2013-03-07,-0.00041575623386280736
2013-03-08,0.0008663815916272188
2013-03-11,-0.0005776985395661294
2013-03-12,0.002031669729821939
2013-03-13,0.0024963473955736948
2013-03-14,0.004518480795122182
2013-03-15,-0.002400183368781339
2013-03-18,-0.00211989205832952
2013-03-19,-0.0007508187764047047
2013-03-20,0.009555131075865253
2013-03-21,-0.003554552189197313
2013-03-22,0.0
2013-03-25,0.0019423515987337936
2013-03-26,0.0017051349064278742
2013-03-27,0.0013445452062608165
2013-03-28,0.0007444630325170731
2013-04-01,0.005654361625175186
2013-04-02,0.0012392246400314555
2013-04-03,-0.010728132582025873
2013-04-04,0.0034475922892400757
2013-04-05,0.0026304630423792386
2013-04-08,-0.002905557103157319
2013-04-09,0.02270989925689393
2013-04-10,0.014196438821768353
2013-04-11,-0.01887924156786458
2013-04-12,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-22,0.00040684776457489136
2013-04-23,0.010468964812882176
2013-04-24,0.008274515529235416
2013-04-25,0.00046168706106475277
2013-04-26,0.0
2013-04-29,0.00279467357740093
2013-04-30,0.0010122378122765507
2013-05-01,-0.0032070596552588038
2013-05-02,0.011225401182216821
2013-05-03,0.0
2013-05-06,0.01682853248097449
2013-05-07,-0.005688928982479746
2013-05-08,0.013441713043865766
2013-05-09,0.005550488164491885
2013-05-10,0.0
2013-05-13,0.0027903909313942155
2013-05-14,0.00965034481332383
2013-05-15,0.014682710834860835
2013-05-16,-0.0025259607692766917
2013-05-17,0.0
2013-05-20,0.00040504694899223814
2013-05-21,0.0006316187947503771
2013-05-22,-0.01436235577226841
2013-05-23,-0.005236403627914221
2013-05-24,0.0
2013-05-28,0.0061759336511495455
2013-05-29,-0.003777797255079429
2013-05-30,0.003045913966936542
2013-05-31,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-10,0.007316402449969894
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,0.007855361330397326
2013-06-14,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-24,-0.00798047710419425
2013-06-25,0.001946209952079947
2013-06-26,0.008768394538136715
2013-06-27,0.004855964371460519
2013-06-28,0.0
2013-07-01,0.006717955574598866
2013-07-02,-0.0013204468388451351
2013-07-03,0.0022870454395360618
2013-07-05,0.0075514659076216795
2013-07-08,0.00019967283632160715
2013-07-09,0.004611296785744345
2013-07-10,0.004238042466565117
2013-07-11,0.013169523240635028
2013-07-12,0.001820156715239607
2013-07-15,-0.0016934554354779419
2013-07-16,-0.00029248559047212463
2013-07-17,0.0026680446564222304
2013-07-18,-0.0082071197042487
2013-07-19,0.0028955557430248025
2013-07-22,-9.487279236464197e-05
2013-07-23,-0.0019525479886596253
2013-07-24,-0.011535625182007903
2013-07-25,0.002543468366777768
2013-07-26,0.0
2013-07-29,0.0067953818671542265
2013-07-30,0.005403736120026981
2013-07-31,-0.0007609336257362598
2013-08-01,0.004001815542067133
2013-08-02,0.005572599393236288
2013-08-05,0.006525909859424361
